order_purchase_date,Aavg_freight_charges_per_order
2016-09-04,39.88
2016-09-05,14.16
2016-09-13,19.93
2016-09-15,26.89
2016-10-02,15.15
2016-10-03,15.704999999999998
2016-10-04,20.357301587301592
2016-10-05,23.849375
2016-10-06,21.093333333333334
2016-10-07,19.25586956521739
2016-10-08,24.620930232558134
2016-10-09,23.50153846153846
2016-10-10,21.25153846153846
2016-10-22,37.97
2016-12-23,44.16
2017-01-05,20.0315625
2017-01-06,15.8825
2017-01-07,17.3725
2017-01-08,47.93166666666667
2017-01-09,16.624000000000002
2017-01-10,17.48
2017-01-11,15.8075
2017-01-12,17.925384615384615
2017-01-13,25.205
2017-01-14,23.168888888888887
2017-01-15,32.90857142857143
2017-01-16,24.6315
2017-01-17,21.722812500000003
2017-01-18,23.224545454545456
2017-01-19,33.11724137931034
2017-01-20,19.640344827586205
2017-01-21,27.025833333333328
2017-01-22,17.360967741935486
2017-01-23,21.834871794871795
2017-01-24,22.016750000000002
2017-01-25,23.386984126984125
2017-01-26,25.577906976744185
2017-01-27,19.781774193548383
2017-01-28,19.53448275862069
2017-01-29,18.63657142857143
2017-01-30,21.023018867924527
2017-01-31,23.760142857142853
2017-02-01,23.448648648648653
2017-02-02,20.279710144927538
2017-02-03,24.574918032786886
2017-02-04,21.251194029850748
2017-02-05,20.21671052631579
2017-02-06,25.75430232558139
2017-02-07,20.910000000000004
2017-02-08,21.629278350515463
2017-02-09,24.408441558441563
2017-02-10,19.739552238805974
2017-02-11,18.367755102040817
2017-02-12,21.585156249999997
2017-02-13,22.25037974683545
2017-02-14,20.53828947368421
2017-02-15,22.357460317460315
2017-02-16,24.410714285714285
2017-02-17,19.745434782608694
2017-02-18,25.050181818181812
2017-02-19,20.028
2017-02-20,22.19317460317461
2017-02-21,19.88170731707317
2017-02-22,20.0
2017-02-23,27.92864406779661
2017-02-24,19.506153846153843
2017-02-25,23.991627906976742
2017-02-26,18.113478260869567
2017-02-27,16.25772727272727
2017-02-28,20.189999999999998
2017-03-01,20.48010101010101
2017-03-02,28.058378378378375
2017-03-03,21.58256756756757
2017-03-04,22.611234567901235
2017-03-05,19.80918918918919
2017-03-06,19.09304761904762
2017-03-07,18.990243902439026
2017-03-08,22.70367088607595
2017-03-09,21.82627659574468
2017-03-10,27.43191011235955
2017-03-11,20.257083333333334
2017-03-12,20.42375
2017-03-13,18.744774774774775
2017-03-14,21.352899999999998
2017-03-15,21.25111111111111
2017-03-16,22.01788461538462
2017-03-17,18.69123076923077
2017-03-18,21.427534246575345
2017-03-19,20.17553571428571
2017-03-20,21.403277310924373
2017-03-21,19.18587628865979
2017-03-22,22.073428571428572
2017-03-23,21.711842105263155
2017-03-24,22.53481012658228
2017-03-25,27.981948051948052
2017-03-26,22.97015625
2017-03-27,19.544504504504506
2017-03-28,22.347475728155338
2017-03-29,24.213378378378376
2017-03-30,21.08486486486487
2017-03-31,21.95942857142857
2017-04-01,23.054558823529412
2017-04-02,22.14846153846154
2017-04-03,20.149166666666662
2017-04-04,20.34270833333333
2017-04-05,20.679270833333337
2017-04-06,19.30510204081633
2017-04-07,18.805764705882346
2017-04-08,19.860441176470587
2017-04-09,18.760933333333334
2017-04-10,22.238505747126435
2017-04-11,20.520512820512813
2017-04-12,21.597619047619048
2017-04-13,21.143500000000003
2017-04-14,29.297037037037036
2017-04-15,23.130576923076923
2017-04-16,19.729999999999997
2017-04-17,17.665757575757578
2017-04-18,21.635000000000005
2017-04-19,20.940306122448984
2017-04-20,20.065252525252525
2017-04-21,23.356764705882355
2017-04-22,20.502588235294116
2017-04-23,20.620786516853936
2017-04-24,20.298869565217394
2017-04-25,20.24919642857143
2017-04-26,21.219444444444445
2017-04-27,19.3041975308642
2017-04-28,19.984285714285715
2017-04-29,20.971066666666665
2017-04-30,22.29308823529412
2017-05-01,20.905128205128204
2017-05-02,19.343046875
2017-05-03,23.03495145631068
2017-05-04,20.408
2017-05-05,25.516052631578948
2017-05-06,19.88559633027523
2017-05-07,20.639821428571427
2017-05-08,19.885080645161292
2017-05-09,24.919461538461544
2017-05-10,24.95120689655172
2017-05-11,19.29348837209302
2017-05-12,21.13513043478261
2017-05-13,25.95878378378378
2017-05-14,20.74948275862069
2017-05-15,22.891012658227847
2017-05-16,22.666709677419355
2017-05-17,21.226126760563385
2017-05-18,21.2740157480315
2017-05-19,25.111666666666668
2017-05-20,23.440972222222225
2017-05-21,21.607229729729728
2017-05-22,21.590743243243246
2017-05-23,20.63277777777778
2017-05-24,22.09521126760563
2017-05-25,22.733611111111117
2017-05-26,20.5225
2017-05-27,22.62277108433735
2017-05-28,22.45212121212122
2017-05-29,21.490249999999996
2017-05-30,22.09245283018868
2017-05-31,20.28885496183207
2017-06-01,22.94338709677419
2017-06-02,22.219224806201552
2017-06-03,19.51166666666667
2017-06-04,18.834411764705887
2017-06-05,22.703243243243243
2017-06-06,22.657089552238805
2017-06-07,21.257829457364338
2017-06-08,22.19128571428572
2017-06-09,22.408073394495418
2017-06-10,22.370389610389616
2017-06-11,21.410956521739127
2017-06-12,20.784765625
2017-06-13,20.570852713178297
2017-06-14,21.48961832061068
2017-06-15,21.10284403669725
2017-06-16,20.775567010309278
2017-06-17,22.1812
2017-06-18,21.736153846153847
2017-06-19,19.838589743589747
2017-06-20,22.788297872340426
2017-06-21,32.32142857142857
2017-06-22,24.252613636363638
2017-06-23,20.692407407407412
2017-06-24,21.21116883116883
2017-06-25,21.228490566037735
2017-06-26,21.578767123287673
2017-06-27,22.284895104895103
2017-06-28,21.147768595041324
