customer_state,order_purchase_date,Total_sales
AL,2017-10-09,272.54
AL,2017-10-10,90.28
AL,2017-10-11,78.11
AL,2017-10-12,200.0
AL,2017-10-13,92.71000000000001
AL,2017-10-15,50.15
AL,2017-10-16,138.03
AL,2017-10-18,222.43
AL,2017-10-19,283.64
AL,2017-10-20,70.15
AL,2017-10-21,111.01
AL,2017-10-26,516.97
AL,2017-10-28,66.85
AL,2017-10-29,42.67
AL,2017-11-01,263.24
AL,2017-11-02,128.73
AL,2017-11-04,218.51999999999998
AL,2017-11-05,379.2
AL,2017-11-06,962.22
AL,2017-11-08,65.84
AL,2017-11-09,214.48
AL,2017-11-12,144.57
AL,2017-11-16,551.63
AL,2017-11-17,215.79999999999998
AL,2017-11-18,61.05
AL,2017-11-20,347.62
AL,2017-11-22,1698.04
AL,2017-11-24,545.99
AL,2017-11-25,327.51
AL,2017-11-26,199.48
AL,2017-11-27,267.56
AL,2017-11-29,621.12
AL,2017-11-30,1400.29
AL,2017-12-01,86.94
AL,2017-12-03,619.0699999999999
AL,2017-12-04,853.39
AL,2017-12-05,40.79
AL,2017-12-06,1133.71
AL,2017-12-08,330.62
AL,2017-12-09,533.97
AL,2017-12-13,83.98
AL,2017-12-15,288.5
AL,2017-12-16,305.57
AL,2017-12-18,157.69
AL,2017-12-22,128.11
AL,2017-12-28,238.76000000000002
AL,2017-12-29,198.99
AL,2017-12-31,512.42
AL,2018-01-01,55.4
AL,2018-01-03,186.36
AL,2018-01-04,541.09
AL,2018-01-05,152.25
AL,2018-01-07,5455.49
AL,2018-01-08,968.73
AL,2018-01-09,611.58
AL,2018-01-10,155.8
AL,2018-01-11,1149.9299999999998
AL,2018-01-12,189.88
AL,2018-01-13,218.55
AL,2018-01-15,260.27
AL,2018-01-16,218.62
AL,2018-01-17,178.44
AL,2018-01-18,168.45000000000002
AL,2018-01-19,465.39
AL,2018-01-20,1098.83
AL,2018-01-22,522.11
AL,2018-01-23,153.2
AL,2018-01-24,297.18
AL,2018-01-25,159.53
AL,2018-01-31,95.44
AL,2018-02-01,90.28
AL,2018-02-02,99.62
AL,2018-02-03,84.66000000000001
AL,2018-02-04,619.31
AL,2018-02-07,75.07
AL,2018-02-08,1693.5
AL,2018-02-10,144.47
AL,2018-02-11,124.39999999999999
AL,2018-02-12,269.65999999999997
AL,2018-02-13,284.71
AL,2018-02-16,99.42
AL,2018-02-17,215.6
AL,2018-02-18,295.77
AL,2018-02-19,384.40999999999997
AL,2018-02-24,1456.3799999999999
AL,2018-02-25,355.59999999999997
AL,2018-02-26,171.08
AL,2018-02-27,516.97
AL,2018-02-28,247.85
AL,2018-03-05,125.94
AL,2018-03-06,276.09000000000003
AL,2018-03-09,404.61
AL,2018-03-13,381.88
AL,2018-03-14,136.41
AL,2018-03-15,137.24
AL,2018-03-16,192.54000000000002
AL,2018-03-17,674.82
AL,2018-03-18,91.19
AL,2018-03-19,84.05
AL,2018-03-20,359.03
AL,2018-03-21,1341.24
AL,2018-03-24,195.89999999999998
AL,2018-03-25,216.56
AL,2018-03-26,496.37
AL,2018-03-27,158.22
AL,2018-03-28,320.05
AL,2018-03-29,684.76
AL,2018-03-30,315.76
AL,2018-03-31,99.80000000000001
AL,2018-04-01,26.259999999999998
AL,2018-04-02,95.68
AL,2018-04-03,1550.8300000000002
AL,2018-04-05,622.29
AL,2018-04-09,308.02
AL,2018-04-13,48.14
AL,2018-04-16,927.79
AL,2018-04-17,601.49
AL,2018-04-18,264.90000000000003
AL,2018-04-19,63.14
AL,2018-04-20,51.14
AL,2018-04-21,138.15
AL,2018-04-23,357.40999999999997
AL,2018-04-24,783.5
AL,2018-04-25,332.56
AL,2018-04-26,383.32
AL,2018-04-28,738.5699999999999
AL,2018-05-01,182.76
AL,2018-05-03,152.25
AL,2018-05-05,25.24
AL,2018-05-06,170.36
AL,2018-05-07,344.38
AL,2018-05-10,97.87
AL,2018-05-13,40.33
AL,2018-05-15,259.41
AL,2018-05-16,324.45
AL,2018-05-18,65.57
AL,2018-05-19,100.85
AL,2018-05-20,670.77
AL,2018-05-25,220.35
AL,2018-05-29,137.24
AL,2018-06-05,79.92
AL,2018-06-06,193.95000000000002
AL,2018-06-10,4429.96
AL,2018-06-11,474.73999999999995
AL,2018-06-13,170.49
AL,2018-06-14,85.03999999999999
AL,2018-06-17,103.28
AL,2018-06-18,379.2
AL,2018-06-19,126.18
AL,2018-06-21,218.19000000000003
AL,2018-06-22,265.59000000000003
AL,2018-06-23,50.14
AL,2018-06-24,71.05
AL,2018-06-25,64.67
AL,2018-06-26,204.53
AL,2018-06-28,107.89999999999999
AL,2018-07-01,358.53
AL,2018-07-06,61.28
AL,2018-07-09,66.75
AL,2018-07-10,294.38
AL,2018-07-15,870.29
AL,2018-07-16,42.05
AL,2018-07-17,826.91
AL,2018-07-18,137.06
AL,2018-07-19,650.1299999999999
AL,2018-07-21,1367.3400000000001
AL,2018-07-22,239.35000000000002
AL,2018-07-23,1769.35
AL,2018-07-26,224.07
AL,2018-07-30,889.24
AL,2018-07-31,325.82
AL,2018-08-01,291.8
AL,2018-08-03,3015.2200000000003
AL,2018-08-04,642.77
AL,2018-08-09,52.6
AL,2018-08-11,176.2
AL,2018-08-12,562.52
AL,2018-08-13,281.74
AL,2018-08-15,125.94
AL,2018-08-19,1460.78
AL,2018-08-20,475.08
AL,2018-08-21,104.55
AL,2018-08-22,59.83
AL,2018-08-25,558.4000000000001
AL,2018-08-27,239.60000000000002
AM,2017-01-11,142.27
AM,2017-01-26,180.82
AM,2017-03-03,57.67
AM,2017-03-04,143.74
AM,2017-03-07,57.31
AM,2017-03-08,50.15
AM,2017-05-02,426.33
AM,2017-05-03,240.87
AM,2017-05-11,95.11
AM,2017-05-16,58.28
AM,2017-05-21,126.34
AM,2017-05-26,1180.4599999999998
AM,2017-06-02,181.75
AM,2017-06-07,248.85
AM,2017-06-10,172.69
AM,2017-06-25,204.4
AM,2017-06-29,114.55000000000001
AM,2017-07-19,207.78
AM,2017-07-24,334.59000000000003
AM,2017-08-02,131.37
AM,2017-08-06,430.61
AM,2017-08-07,370.28999999999996
AM,2017-08-08,314.77
AM,2017-08-10,179.3
AM,2017-08-19,312.83
AM,2017-08-26,1694.64
AM,2017-09-02,308.8
AM,2017-09-04,96.75
AM,2017-09-11,244.14000000000001
AM,2017-09-13,84.81
AM,2017-10-01,114.07
AM,2017-10-08,160.67000000000002
AM,2017-10-09,59.35
AM,2017-10-13,236.56
AM,2017-10-25,147.03
AM,2017-11-03,83.05
AM,2017-11-11,113.85
AM,2017-11-13,135.16
AM,2017-11-24,1203.58
AM,2017-11-25,491.60999999999996
AM,2017-11-28,275.48
AM,2017-11-29,72.2
AM,2017-12-03,588.83
AM,2017-12-04,404.72
AM,2017-12-06,212.03
AM,2017-12-14,54.34
AM,2017-12-22,106.2
AM,2018-01-06,165.51999999999998
AM,2018-01-07,40.05
AM,2018-01-08,916.6499999999999
AM,2018-01-10,44.25
AM,2018-01-16,207.09
AM,2018-01-24,105.01
AM,2018-01-26,114.42
AM,2018-01-29,420.13
AM,2018-01-30,73.26
AM,2018-01-31,82.84
AM,2018-02-01,101.02000000000001
AM,2018-02-09,125.77
AM,2018-02-12,165.43
AM,2018-02-16,204.4
AM,2018-02-17,106.36
AM,2018-02-18,1853.75
AM,2018-02-21,477.45
AM,2018-02-23,194.35
AM,2018-02-24,116.55
AM,2018-02-26,105.01
AM,2018-02-27,95.42
AM,2018-03-02,64.78
AM,2018-03-05,604.76
AM,2018-03-07,117.30000000000001
AM,2018-03-13,199.43
AM,2018-03-15,209.46
AM,2018-03-16,130.24
AM,2018-03-19,95.50999999999999
AM,2018-03-22,128.08
AM,2018-03-24,97.54
AM,2018-03-25,64.78
AM,2018-04-03,162.34
AM,2018-04-11,426.33
AM,2018-04-14,59.35
AM,2018-04-15,94.74000000000001
AM,2018-04-17,502.62
AM,2018-04-18,147.53
AM,2018-04-20,203.88
AM,2018-04-22,114.42
AM,2018-04-24,147.53
AM,2018-04-27,72.39
AM,2018-05-04,167.45
AM,2018-05-09,58.67
AM,2018-05-12,50.83
AM,2018-05-13,109.4
AM,2018-05-14,806.21
AM,2018-05-15,65.14
AM,2018-05-20,120.05000000000001
AM,2018-05-22,85.06
AM,2018-05-26,101.71000000000001
AM,2018-06-06,84.87
AM,2018-06-07,725.69
AM,2018-06-11,66.15
AM,2018-06-13,69.36
AM,2018-06-17,166.61
AM,2018-06-19,42.34
AM,2018-06-21,111.94
AM,2018-06-22,50.34
AM,2018-06-23,84.81
AM,2018-06-25,124.86
AM,2018-07-02,1480.8700000000001
AM,2018-07-04,58.14
AM,2018-07-08,145.87
AM,2018-07-18,315.13
AM,2018-07-22,358.56
AM,2018-07-23,114.11
AM,2018-07-29,93.21000000000001
AM,2018-07-31,625.0
AM,2018-08-02,1077.09
AM,2018-08-03,158.38
AM,2018-08-05,126.94
AM,2018-08-06,98.45
AM,2018-08-07,80.95
AM,2018-08-09,218.71
AM,2018-08-14,114.42
AM,2018-08-15,371.19
AM,2018-08-20,46.05
AM,2018-08-22,73.26
AP,2017-01-30,54.739999999999995
AP,2017-02-07,70.25
AP,2017-02-13,115.17
AP,2017-04-16,102.59
AP,2017-04-20,1123.95
AP,2017-05-22,104.94
AP,2017-05-28,79.1
AP,2017-05-29,57.83
AP,2017-06-05,633.52
AP,2017-06-06,1111.2
AP,2017-06-27,129.1
AP,2017-07-25,146.2
AP,2017-08-08,134.99
AP,2017-08-21,142.15
AP,2017-08-27,87.72999999999999
AP,2017-08-28,70.66
AP,2017-08-29,93.21000000000001
AP,2017-09-05,114.87
AP,2017-09-21,112.80000000000001
AP,2017-09-27,108.64
AP,2017-09-30,183.84
AP,2017-10-02,197.47
AP,2017-10-18,64.14
AP,2017-10-19,235.13
AP,2017-11-08,216.26
AP,2017-11-24,248.51
AP,2017-11-25,191.7
AP,2017-11-27,625.79
AP,2017-11-30,254.32999999999998
AP,2017-12-18,178.0
AP,2017-12-29,61.989999999999995
AP,2018-01-10,80.42
AP,2018-01-11,2833.32
AP,2018-01-14,52.05
AP,2018-01-24,347.37
AP,2018-02-14,154.99
AP,2018-02-25,912.3899999999999
AP,2018-03-04,126.23
AP,2018-03-05,99.9
AP,2018-03-10,134.01
AP,2018-03-11,168.46
AP,2018-03-17,134.99
AP,2018-04-02,50.15
AP,2018-04-03,90.46
AP,2018-04-05,112.97999999999999
AP,2018-04-07,163.7
AP,2018-04-12,248.92000000000002
AP,2018-04-15,54.45
AP,2018-04-18,152.0
AP,2018-05-07,657.61
AP,2018-05-28,1482.42
AP,2018-05-31,90.89
AP,2018-06-04,996.22
AP,2018-06-07,201.06
AP,2018-06-09,127.52000000000001
AP,2018-06-17,90.67999999999999
AP,2018-07-15,66.1
AP,2018-07-21,135.79
AP,2018-08-01,100.02
AP,2018-08-07,71.14
AP,2018-08-14,62.41
AP,2018-08-15,101.27
AP,2018-08-21,168.74
AP,2018-08-25,147.6
BA,2016-09-13,118.93
BA,2016-10-03,168.15
BA,2016-10-04,706.88
BA,2016-10-05,70.7
BA,2016-10-06,6803.759999999999
BA,2016-10-07,293.13
BA,2016-10-10,149.6
BA,2017-01-06,86.91999999999999
BA,2017-01-07,76.75999999999999
BA,2017-01-13,51.78
BA,2017-01-15,291.59000000000003
BA,2017-01-16,152.73000000000002
BA,2017-01-17,491.26
BA,2017-01-19,291.46999999999997
BA,2017-01-20,715.16
BA,2017-01-21,211.45
BA,2017-01-22,206.74
BA,2017-01-24,252.76
BA,2017-01-25,887.37
BA,2017-01-26,1498.8799999999999
BA,2017-01-27,154.25
BA,2017-01-29,255.57
BA,2017-01-30,596.31
BA,2017-01-31,227.04999999999998
BA,2017-02-03,334.34
BA,2017-02-04,106.57
BA,2017-02-05,530.56
BA,2017-02-06,849.17
BA,2017-02-07,291.99
BA,2017-02-08,230.43
BA,2017-02-09,420.34
BA,2017-02-11,279.6
BA,2017-02-12,379.02000000000004
BA,2017-02-13,328.68
BA,2017-02-14,645.44
BA,2017-02-15,322.96000000000004
BA,2017-02-17,95.64
BA,2017-02-18,1734.4299999999998
BA,2017-02-19,236.86
BA,2017-02-20,191.71
BA,2017-02-22,741.58
BA,2017-02-23,672.91
BA,2017-02-24,73.96000000000001
BA,2017-02-25,79.67999999999999
