order_purchase_date,Total_orders
2017-12-09,155
2017-12-10,191
2017-12-11,268
2017-12-12,260
2017-12-13,220
2017-12-14,201
2017-12-15,192
2017-12-16,131
2017-12-17,134
2017-12-18,209
2017-12-19,177
2017-12-20,171
2017-12-21,143
2017-12-22,113
2017-12-23,109
2017-12-24,60
2017-12-25,90
2017-12-26,168
2017-12-27,168
2017-12-28,148
2017-12-29,135
2017-12-30,97
2017-12-31,74
2018-01-01,75
2018-01-02,207
2018-01-03,225
2018-01-04,259
2018-01-05,210
2018-01-06,219
2018-01-07,198
2018-01-08,293
2018-01-09,255
2018-01-10,277
2018-01-11,268
2018-01-12,246
2018-01-13,220
2018-01-14,236
2018-01-15,310
2018-01-16,304
2018-01-17,284
2018-01-18,242
2018-01-19,237
2018-01-20,184
2018-01-21,205
2018-01-22,317
2018-01-23,264
2018-01-24,248
2018-01-25,234
2018-01-26,229
2018-01-27,153
2018-01-28,157
2018-01-29,246
2018-01-30,258
2018-01-31,258
2018-02-01,233
2018-02-02,215
2018-02-03,196
2018-02-04,201
2018-02-05,273
2018-02-06,270
2018-02-07,250
2018-02-08,232
2018-02-09,216
2018-02-10,180
2018-02-11,173
2018-02-12,218
2018-02-13,225
2018-02-14,296
2018-02-15,285
2018-02-16,215
2018-02-17,204
2018-02-18,202
2018-02-19,260
2018-02-20,290
2018-02-21,267
2018-02-22,280
2018-02-23,236
2018-02-24,193
2018-02-25,239
2018-02-26,300
2018-02-27,298
2018-02-28,317
2018-03-01,277
2018-03-02,267
2018-03-03,214
2018-03-04,238
2018-03-05,267
2018-03-06,274
2018-03-07,262
2018-03-08,235
2018-03-09,207
2018-03-10,195
2018-03-11,221
2018-03-12,233
2018-03-13,228
2018-03-14,200
2018-03-15,291
2018-03-16,255
2018-03-17,182
2018-03-18,215
2018-03-19,306
2018-03-20,298
2018-03-21,288
2018-03-22,256
2018-03-23,221
2018-03-24,165
2018-03-25,192
2018-03-26,276
2018-03-27,246
2018-03-28,221
2018-03-29,196
2018-03-30,165
2018-03-31,170
2018-04-01,208
2018-04-02,283
2018-04-03,250
2018-04-04,257
2018-04-05,270
2018-04-06,189
2018-04-07,164
2018-04-08,187
2018-04-09,254
2018-04-10,201
2018-04-11,275
2018-04-12,258
2018-04-13,202
2018-04-14,147
2018-04-15,224
2018-04-16,281
2018-04-17,266
2018-04-18,283
2018-04-19,297
2018-04-20,197
2018-04-21,157
2018-04-22,200
2018-04-23,286
2018-04-24,272
2018-04-25,285
2018-04-26,257
2018-04-27,242
2018-04-28,170
2018-04-29,172
2018-04-30,241
2018-05-01,256
2018-05-02,298
2018-05-03,307
2018-05-04,267
2018-05-05,197
2018-05-06,211
2018-05-07,376
2018-05-08,331
2018-05-09,346
2018-05-10,281
2018-05-11,247
2018-05-12,209
2018-05-13,208
2018-05-14,368
2018-05-15,353
2018-05-16,361
2018-05-17,228
2018-05-18,237
2018-05-19,141
2018-05-20,163
2018-05-21,206
2018-05-22,201
2018-05-23,134
2018-05-24,114
2018-05-25,104
2018-05-26,99
2018-05-27,100
2018-05-28,145
2018-05-29,150
2018-05-30,141
2018-05-31,136
2018-06-01,186
2018-06-02,143
2018-06-03,193
2018-06-04,226
2018-06-05,201
2018-06-06,228
2018-06-07,226
2018-06-08,199
2018-06-09,172
2018-06-10,195
2018-06-11,298
2018-06-12,249
2018-06-13,261
2018-06-14,214
2018-06-15,186
2018-06-16,168
2018-06-17,153
2018-06-18,248
2018-06-19,232
2018-06-20,217
2018-06-21,236
2018-06-22,181
2018-06-23,151
2018-06-24,200
2018-06-25,241
2018-06-26,244
2018-06-27,216
2018-06-28,245
2018-06-29,178
2018-06-30,125
2018-07-01,162
2018-07-02,197
2018-07-03,219
2018-07-04,256
2018-07-05,195
2018-07-06,122
2018-07-07,91
2018-07-08,122
2018-07-09,148
2018-07-10,134
2018-07-11,127
2018-07-12,124
2018-07-13,169
2018-07-14,148
2018-07-15,155
2018-07-16,248
2018-07-17,221
2018-07-18,308
2018-07-19,253
2018-07-20,250
2018-07-21,187
2018-07-22,215
2018-07-23,307
2018-07-24,273
2018-07-25,268
2018-07-26,249
2018-07-27,191
2018-07-28,180
2018-07-29,190
2018-07-30,290
2018-07-31,325
2018-08-01,311
2018-08-02,302
2018-08-03,316
2018-08-04,246
2018-08-05,279
2018-08-06,374
2018-08-07,372
2018-08-08,319
2018-08-09,290
2018-08-10,256
2018-08-11,190
2018-08-12,199
2018-08-13,292
2018-08-14,317
2018-08-15,292
2018-08-16,320
2018-08-17,259
2018-08-18,198
2018-08-19,205
2018-08-20,257
2018-08-21,243
2018-08-22,187
2018-08-23,144
2018-08-24,99
2018-08-25,69
2018-08-26,73
2018-08-27,68
2018-08-28,44
2018-08-29,14
2018-08-30,4
2018-08-31,1
2018-09-03,4
2018-09-06,3
2018-09-10,1
2018-09-11,1
2018-09-12,1
2018-09-13,1
2018-09-17,1
2018-09-20,1
2018-09-25,1
2018-09-26,1
2018-09-29,1
2018-10-01,1
2018-10-03,1
2018-10-16,1
2018-10-17,1
