customer_state,order_purchase_year,order_purchase_week,Total_orders
BA,2017,4,14
BA,2017,40,27
BA,2017,41,34
BA,2017,42,45
BA,2017,43,30
BA,2017,44,37
BA,2017,45,57
BA,2017,46,46
BA,2017,47,108
BA,2017,48,70
BA,2017,49,69
BA,2017,5,13
BA,2017,50,49
BA,2017,51,32
BA,2017,52,41
BA,2017,6,14
BA,2017,7,11
BA,2017,8,15
BA,2017,9,18
BA,2018,1,50
BA,2018,10,50
BA,2018,11,54
BA,2018,12,60
BA,2018,13,61
BA,2018,14,56
BA,2018,15,37
BA,2018,16,49
BA,2018,17,59
BA,2018,18,59
BA,2018,19,74
BA,2018,2,66
BA,2018,20,65
BA,2018,21,30
BA,2018,22,45
BA,2018,23,51
BA,2018,24,48
BA,2018,25,45
BA,2018,26,42
BA,2018,27,38
BA,2018,28,43
BA,2018,29,46
BA,2018,3,62
BA,2018,30,69
BA,2018,31,72
BA,2018,32,73
BA,2018,33,51
BA,2018,34,44
BA,2018,35,2
BA,2018,4,55
BA,2018,5,68
BA,2018,6,68
BA,2018,7,54
BA,2018,8,62
BA,2018,9,65
CE,2016,37,1
CE,2016,40,4
CE,2017,1,1
CE,2017,10,5
CE,2017,11,5
CE,2017,12,10
CE,2017,13,8
CE,2017,14,5
CE,2017,15,8
CE,2017,16,4
CE,2017,17,10
CE,2017,18,12
CE,2017,19,21
CE,2017,2,2
CE,2017,20,16
CE,2017,21,12
CE,2017,22,9
CE,2017,23,13
CE,2017,24,13
CE,2017,25,6
CE,2017,26,11
CE,2017,27,10
CE,2017,28,13
CE,2017,29,12
CE,2017,3,4
CE,2017,30,14
CE,2017,31,13
CE,2017,32,22
CE,2017,33,17
CE,2017,34,14
CE,2017,35,10
CE,2017,36,12
CE,2017,37,15
CE,2017,38,8
CE,2017,39,19
CE,2017,4,6
CE,2017,40,17
CE,2017,41,21
CE,2017,42,16
CE,2017,43,11
CE,2017,44,4
CE,2017,45,13
CE,2017,46,21
CE,2017,47,34
CE,2017,48,29
CE,2017,49,22
CE,2017,5,9
CE,2017,50,13
CE,2017,51,16
CE,2017,52,15
CE,2017,6,10
CE,2017,7,6
CE,2017,8,6
CE,2017,9,8
CE,2018,1,18
CE,2018,10,23
CE,2018,11,25
CE,2018,12,19
CE,2018,13,18
CE,2018,14,29
CE,2018,15,13
CE,2018,16,21
CE,2018,17,23
CE,2018,18,20
CE,2018,19,30
CE,2018,2,30
CE,2018,20,31
CE,2018,21,9
CE,2018,22,10
CE,2018,23,18
CE,2018,24,20
CE,2018,25,18
CE,2018,26,20
CE,2018,27,14
CE,2018,28,15
CE,2018,29,21
CE,2018,3,23
CE,2018,30,16
CE,2018,31,29
CE,2018,32,20
CE,2018,33,19
CE,2018,34,15
CE,2018,35,4
CE,2018,4,19
CE,2018,5,18
CE,2018,6,23
CE,2018,7,21
CE,2018,8,22
CE,2018,9,29
DF,2016,40,8
DF,2017,1,1
DF,2017,10,6
DF,2017,11,14
DF,2017,12,15
DF,2017,13,12
DF,2017,14,10
DF,2017,15,10
DF,2017,16,11
DF,2017,17,9
DF,2017,18,19
DF,2017,19,18
DF,2017,2,4
DF,2017,20,23
DF,2017,21,12
DF,2017,22,18
DF,2017,23,24
DF,2017,24,17
DF,2017,25,18
DF,2017,26,17
DF,2017,27,20
DF,2017,28,17
DF,2017,29,16
DF,2017,3,5
DF,2017,30,18
DF,2017,31,19
DF,2017,32,31
DF,2017,33,19
DF,2017,34,24
DF,2017,35,24
DF,2017,36,16
DF,2017,37,23
DF,2017,38,19
DF,2017,39,25
DF,2017,4,7
DF,2017,40,21
DF,2017,41,16
DF,2017,42,23
DF,2017,43,21
DF,2017,44,14
DF,2017,45,21
DF,2017,46,26
DF,2017,47,56
DF,2017,48,48
DF,2017,49,25
DF,2017,5,14
DF,2017,50,35
DF,2017,51,19
DF,2017,52,13
DF,2017,6,14
DF,2017,7,5
DF,2017,8,4
DF,2017,9,10
DF,2018,1,22
DF,2018,10,33
DF,2018,11,28
DF,2018,12,46
DF,2018,13,31
DF,2018,14,45
DF,2018,15,40
DF,2018,16,39
DF,2018,17,43
DF,2018,18,37
DF,2018,19,45
DF,2018,2,33
DF,2018,20,40
DF,2018,21,28
DF,2018,22,20
DF,2018,23,31
DF,2018,24,32
DF,2018,25,27
DF,2018,26,29
DF,2018,27,24
DF,2018,28,24
DF,2018,29,37
DF,2018,3,35
DF,2018,30,18
DF,2018,31,34
DF,2018,32,44
DF,2018,33,42
DF,2018,34,25
DF,2018,35,3
DF,2018,4,31
DF,2018,5,33
DF,2018,6,34
DF,2018,7,32
DF,2018,8,33
DF,2018,9,32
ES,2016,40,6
ES,2016,41,2
ES,2017,1,1
ES,2017,10,9
ES,2017,11,14
ES,2017,12,10
ES,2017,13,10
ES,2017,14,8
ES,2017,15,11
ES,2017,16,7
ES,2017,17,7
ES,2017,18,18
ES,2017,19,15
ES,2017,2,2
ES,2017,20,22
ES,2017,21,11
ES,2017,22,14
ES,2017,23,13
ES,2017,24,13
ES,2017,25,8
ES,2017,26,14
ES,2017,27,16
ES,2017,28,20
ES,2017,29,31
ES,2017,3,4
ES,2017,30,7
ES,2017,31,18
ES,2017,32,18
ES,2017,33,25
ES,2017,34,21
ES,2017,35,17
ES,2017,36,24
ES,2017,37,13
ES,2017,38,15
ES,2017,39,27
ES,2017,4,3
ES,2017,40,23
ES,2017,41,20
ES,2017,42,24
ES,2017,43,19
ES,2017,44,25
ES,2017,45,13
ES,2017,46,31
ES,2017,47,64
ES,2017,48,48
ES,2017,49,38
ES,2017,5,15
ES,2017,50,20
ES,2017,51,18
ES,2017,52,24
ES,2017,6,11
ES,2017,7,14
ES,2017,8,8
ES,2017,9,10
ES,2018,1,26
ES,2018,10,43
ES,2018,11,38
ES,2018,12,38
ES,2018,13,32
ES,2018,14,38
ES,2018,15,42
ES,2018,16,33
ES,2018,17,37
ES,2018,18,35
ES,2018,19,30
ES,2018,2,40
ES,2018,20,42
ES,2018,21,19
ES,2018,22,14
ES,2018,23,27
ES,2018,24,34
ES,2018,25,32
ES,2018,26,21
ES,2018,27,25
ES,2018,28,16
ES,2018,29,43
ES,2018,3,44
ES,2018,30,29
ES,2018,31,42
ES,2018,32,35
ES,2018,33,49
ES,2018,34,33
ES,2018,35,6
ES,2018,4,46
ES,2018,5,30
ES,2018,6,34
ES,2018,7,25
ES,2018,8,46
ES,2018,9,39
GO,2016,40,6
GO,2016,41,1
GO,2017,10,12
GO,2017,11,19
GO,2017,12,12
GO,2017,13,11
GO,2017,14,11
GO,2017,15,9
GO,2017,16,9
GO,2017,17,15
GO,2017,18,27
GO,2017,19,15
GO,2017,2,1
GO,2017,20,23
GO,2017,21,19
GO,2017,22,20
GO,2017,23,11
GO,2017,24,14
GO,2017,25,6
GO,2017,26,12
GO,2017,27,15
GO,2017,28,28
GO,2017,29,16
GO,2017,3,3
GO,2017,30,13
GO,2017,31,18
GO,2017,32,18
GO,2017,33,23
GO,2017,34,16
GO,2017,35,24
GO,2017,36,15
GO,2017,37,17
GO,2017,38,23
GO,2017,39,20
GO,2017,4,5
GO,2017,40,13
GO,2017,41,19
GO,2017,42,23
GO,2017,43,18
GO,2017,44,17
GO,2017,45,25
GO,2017,46,16
GO,2017,47,66
GO,2017,48,46
GO,2017,49,27
GO,2017,5,6
GO,2017,50,21
GO,2017,51,19
GO,2017,52,26
GO,2017,6,8
GO,2017,7,14
GO,2017,8,7
GO,2017,9,10
GO,2018,1,29
GO,2018,10,36
GO,2018,11,32
GO,2018,12,31
GO,2018,13,28
GO,2018,14,35
GO,2018,15,35
GO,2018,16,29
GO,2018,17,31
GO,2018,18,27
GO,2018,19,44
GO,2018,2,40
GO,2018,20,41
GO,2018,21,15
GO,2018,22,24
GO,2018,23,24
GO,2018,24,22
GO,2018,25,30
GO,2018,26,28
GO,2018,27,22
GO,2018,28,19
GO,2018,29,32
GO,2018,3,26
GO,2018,30,33
GO,2018,31,56
GO,2018,32,42
GO,2018,33,38
GO,2018,34,31
GO,2018,35,3
GO,2018,4,45
GO,2018,5,29
GO,2018,6,27
GO,2018,7,33
GO,2018,8,39
GO,2018,9,42
MA,2016,40,2
MA,2016,42,1
MA,2017,10,3
MA,2017,11,5
MA,2017,12,5
MA,2017,13,2
MA,2017,14,6
MA,2017,15,5
MA,2017,16,4
MA,2017,17,3
MA,2017,18,1
MA,2017,19,3
MA,2017,20,4
MA,2017,21,5
MA,2017,22,6
MA,2017,23,7
MA,2017,24,4
MA,2017,25,4
MA,2017,26,6
MA,2017,27,12
MA,2017,28,7
MA,2017,29,6
MA,2017,30,6
MA,2017,31,6
MA,2017,32,8
MA,2017,33,12
MA,2017,34,4
MA,2017,35,17
MA,2017,36,13
MA,2017,37,12
MA,2017,38,6
MA,2017,39,9
MA,2017,4,5
MA,2017,40,6
MA,2017,41,8
MA,2017,42,12
MA,2017,43,8
MA,2017,44,10
MA,2017,45,12
MA,2017,46,12
MA,2017,47,16
MA,2017,48,15
MA,2017,49,16
MA,2017,5,4
MA,2017,50,14
MA,2017,51,4
MA,2017,52,6
MA,2017,6,7
MA,2017,7,6
MA,2017,8,3
MA,2017,9,4
MA,2018,1,13
MA,2018,10,16
MA,2018,11,9
MA,2018,12,14
MA,2018,13,9
MA,2018,14,13
MA,2018,15,13
MA,2018,16,12
MA,2018,17,7
MA,2018,18,16
MA,2018,19,11
MA,2018,2,11
MA,2018,20,15
MA,2018,21,4
MA,2018,22,9
MA,2018,23,12
MA,2018,24,11
MA,2018,25,12
MA,2018,26,11
MA,2018,27,5
MA,2018,28,7
MA,2018,29,18
MA,2018,3,12
MA,2018,30,16
MA,2018,31,17
MA,2018,32,12
MA,2018,33,14
MA,2018,34,5
MA,2018,4,13
MA,2018,5,13
MA,2018,6,10
MA,2018,7,20
MA,2018,8,14
MA,2018,9,20
MG,2016,36,1
MG,2016,39,1
MG,2016,40,41
MG,2016,41,4
MG,2017,1,6
MG,2017,10,79
MG,2017,11,77
MG,2017,12,86
MG,2017,13,63
MG,2017,14,69
MG,2017,15,51
MG,2017,16,65
MG,2017,17,84
MG,2017,18,91
MG,2017,19,83
MG,2017,2,11
MG,2017,20,112
MG,2017,21,101
MG,2017,22,102
MG,2017,23,104
MG,2017,24,97
MG,2017,25,83
MG,2017,26,84
MG,2017,27,118
MG,2017,28,97
MG,2017,29,123
MG,2017,3,27
MG,2017,30,112
MG,2017,31,110
MG,2017,32,119
MG,2017,33,114
MG,2017,34,110
MG,2017,35,138
MG,2017,36,107
MG,2017,37,137
MG,2017,38,106
MG,2017,39,103
MG,2017,4,43
MG,2017,40,138
MG,2017,41,129
MG,2017,42,134
MG,2017,43,108
MG,2017,44,118
MG,2017,45,145
MG,2017,46,157
MG,2017,47,350
MG,2017,48,255
MG,2017,49,221
MG,2017,5,61
MG,2017,50,190
MG,2017,51,111
MG,2017,52,111
MG,2017,6,70
MG,2017,7,49
MG,2017,8,58
MG,2017,9,70
MG,2018,1,164
MG,2018,10,185
MG,2018,11,195
MG,2018,12,204
MG,2018,13,168
MG,2018,14,205
MG,2018,15,193
MG,2018,16,169
MG,2018,17,176
MG,2018,18,217
MG,2018,19,261
MG,2018,2,213
MG,2018,20,216
MG,2018,21,123
MG,2018,22,121
MG,2018,23,191
MG,2018,24,192
MG,2018,25,166
MG,2018,26,166
MG,2018,27,130
MG,2018,28,119
MG,2018,29,207
MG,2018,3,204
MG,2018,30,200
MG,2018,31,276
MG,2018,32,220
MG,2018,33,228
MG,2018,34,125
MG,2018,35,15
MG,2018,4,186
MG,2018,5,193
MG,2018,6,184
MG,2018,7,184
MG,2018,8,205
MG,2018,9,241
MS,2017,10,8
MS,2017,11,5
MS,2017,12,5
MS,2017,13,6
MS,2017,14,5
MS,2017,15,2
MS,2017,16,7
MS,2017,17,7
MS,2017,18,4
MS,2017,19,3
MS,2017,20,12
MS,2017,21,7
MS,2017,22,11
MS,2017,23,5
MS,2017,24,2
MS,2017,25,6
MS,2017,26,6
MS,2017,27,5
MS,2017,28,3
MS,2017,29,8
MS,2017,30,4
MS,2017,31,7
MS,2017,32,7
MS,2017,33,9
MS,2017,34,11
MS,2017,35,4
MS,2017,36,10
MS,2017,37,3
MS,2017,38,5
MS,2017,39,2
MS,2017,4,1
MS,2017,40,5
MS,2017,41,7
MS,2017,42,7
MS,2017,43,5
MS,2017,44,10
MS,2017,45,10
MS,2017,46,6
MS,2017,47,19
MS,2017,48,15
MS,2017,49,13
MS,2017,5,1
MS,2017,50,12
MS,2017,51,10
MS,2017,52,3
MS,2017,6,3
MS,2017,7,1
MS,2017,8,2
MS,2017,9,4
MS,2018,1,20
MS,2018,10,20
MS,2018,11,11
MS,2018,12,21
MS,2018,13,7
MS,2018,14,6
MS,2018,15,13
MS,2018,16,7
MS,2018,17,12
MS,2018,18,12
MS,2018,19,8
MS,2018,2,20
MS,2018,20,12
MS,2018,21,8
MS,2018,22,5
MS,2018,23,10
MS,2018,24,5
MS,2018,25,8
MS,2018,26,12
MS,2018,27,7
MS,2018,28,12
MS,2018,29,15
MS,2018,3,13
MS,2018,30,21
MS,2018,31,16
MS,2018,32,12
MS,2018,33,9
MS,2018,34,6
MS,2018,35,1
MS,2018,4,13
MS,2018,5,10
MS,2018,6,7
MS,2018,7,11
MS,2018,8,7
MS,2018,9,19
MT,2016,40,4
MT,2016,41,2
MT,2017,1,3
MT,2017,10,6
MT,2017,11,5
MT,2017,12,8
MT,2017,13,3
MT,2017,14,6
MT,2017,15,1
MT,2017,16,7
MT,2017,17,6
MT,2017,18,11
MT,2017,19,4
MT,2017,2,1
MT,2017,20,3
MT,2017,21,4
MT,2017,22,4
MT,2017,23,10
MT,2017,24,3
MT,2017,25,10
MT,2017,26,7
MT,2017,27,5
MT,2017,28,14
MT,2017,29,9
MT,2017,3,1
MT,2017,30,7
MT,2017,31,8
MT,2017,32,17
MT,2017,33,20
