customer_city,order_purchase_date,Total_sales
Adustina,2017-06-04,359.20000000000005
Adustina,2017-12-28,55.79
Adustina,2018-04-26,102.27
Afogados da Ingazeira,2017-03-16,66.09
Afogados da Ingazeira,2017-06-15,230.0
Afogados da Ingazeira,2017-07-06,623.68
Afogados da Ingazeira,2017-10-16,118.02
Afogados da Ingazeira,2017-11-08,102.07
Afogados da Ingazeira,2018-01-12,51.53
Afogados da Ingazeira,2018-01-28,410.56
Afogados da Ingazeira,2018-02-21,1434.07
Afonso Bezerra,2017-11-28,379.11
Afonso Claudio,2017-02-12,40.089999999999996
Afonso Claudio,2017-03-08,55.0
Afonso Claudio,2017-09-09,81.13999999999999
Afonso Claudio,2017-09-25,76.88
Afonso Claudio,2017-10-22,64.1
Afonso Claudio,2017-10-24,321.15
Afonso Claudio,2017-11-18,871.19
Afonso Claudio,2018-01-21,101.34
Afonso Claudio,2018-03-02,87.61999999999999
Afonso Claudio,2018-04-01,169.51
Afonso Claudio,2018-06-25,131.46
Afranio,2018-01-23,226.23
Agisse,2018-03-09,56.37
Agrolandia,2017-05-17,74.49
Agrolandia,2017-09-13,148.15
Agrolandia,2018-01-29,60.91
Agronomica,2017-06-24,23.490000000000002
Agua Azul do Norte,2018-05-06,97.38
Agua Boa,2017-08-07,66.24
Agua Boa,2017-09-28,524.7
Agua Boa,2018-01-26,46.07
Agua Boa,2018-01-28,255.74
Agua Boa,2018-02-22,61.9
Agua Boa,2018-03-02,36.989999999999995
Agua Boa,2018-03-06,137.28
Agua Boa,2018-03-14,334.54
Agua Boa,2018-04-11,169.28
Agua Boa,2018-04-22,169.01
Agua Boa,2018-04-28,67.82
Agua Boa,2018-05-08,28.78
Agua Boa,2018-05-16,112.11
Agua Boa,2018-05-18,146.35999999999999
Agua Boa,2018-06-01,367.53
Agua Boa,2018-07-17,621.76
Agua Branca,2018-03-24,195.89999999999998
Agua Branca,2018-03-28,209.48000000000002
Agua Branca,2018-06-09,117.1
Agua Clara,2017-09-04,562.02
Agua Clara,2018-06-25,107.78
Agua Comprida,2017-12-14,44.0
Agua Comprida,2018-02-06,140.52
Agua Comprida,2018-06-20,96.65
Agua Doce,2018-03-15,205.55
Agua Doce,2018-03-16,336.46
Agua Doce,2018-03-29,753.11
Agua Doce,2018-08-09,113.76
Agua Doce do Norte,2017-08-07,184.26
Agua Doce do Norte,2017-11-09,114.9
Agua Doce do Norte,2017-12-28,160.55
Agua Doce do Norte,2018-05-30,43.42
Agua Doce do Norte,2018-08-21,272.32
Agua Fria,2017-08-16,56.79
Agua Fria de Goias,2018-05-14,361.06
Agua Limpa,2017-12-04,416.8
Agua Nova,2017-11-30,77.67
Agua Preta,2017-12-28,147.34
Agua Santa,2018-06-04,181.73000000000002
Agua Santa,2018-07-27,116.84
Agua Santa,2018-08-05,82.60000000000001
Agua Vermelha,2017-05-22,327.9
Aguai,2017-06-11,57.69
Aguai,2017-07-09,1125.58
Aguai,2017-08-15,49.95
Aguai,2017-11-16,294.54
Aguai,2018-01-26,139.15
Aguai,2018-02-13,593.16
Aguai,2018-02-23,32.589999999999996
Aguai,2018-03-13,157.45
Aguai,2018-03-28,120.89999999999999
Aguai,2018-05-14,93.82000000000001
Aguai,2018-07-18,26.75
Aguas Belas,2017-03-18,238.38
Aguas Belas,2017-05-31,138.17000000000002
Aguas Belas,2017-08-29,94.76
Aguas Belas,2018-01-13,90.84
Aguas Claras,2017-08-28,116.96
Aguas Claras,2017-08-29,205.57
Aguas Claras,2018-07-03,96.71000000000001
Aguas Formosas,2017-06-11,51.22
Aguas Formosas,2017-11-06,33.42
Aguas Formosas,2018-01-29,105.23
Aguas Formosas,2018-04-08,74.07
