order_purchase_date,Total_sales
2017-09-13,34478.03
2017-09-14,30686.37
2017-09-15,29836.28
2017-09-16,20784.62
2017-09-17,20118.94
2017-09-18,39868.47
2017-09-19,24044.79
2017-09-20,27980.89
2017-09-21,31716.46
2017-09-22,23477.74
2017-09-23,13257.03
2017-09-24,17922.92
2017-09-25,25413.7
2017-09-26,30575.17
2017-09-27,32803.97
2017-09-28,31366.52
2017-09-29,22612.03
2017-09-30,23655.06
2017-10-01,25347.37
2017-10-02,23049.33
2017-10-03,31714.23
2017-10-04,26414.26
2017-10-05,25285.36
2017-10-06,26590.83
2017-10-07,17868.36
2017-10-08,21194.8
2017-10-09,46505.23
2017-10-10,27936.38
2017-10-11,29515.86
2017-10-12,20520.27
2017-10-13,27456.52
2017-10-14,23790.3
2017-10-15,24770.2
2017-10-16,44998.48
2017-10-17,30181.11
2017-10-18,35320.91
2017-10-19,28490.18
2017-10-20,25268.77
2017-10-21,22140.94
2017-10-22,28943.5
2017-10-23,34967.2
2017-10-24,25978.17
2017-10-25,26866.07
2017-10-26,32570.95
2017-10-27,21214.36
2017-10-28,13765.11
2017-10-29,48978.41
2017-10-30,25260.38
2017-10-31,26838.05
2017-11-01,20761.76
2017-11-02,34031.03
2017-11-03,25579.4
2017-11-04,23478.02
2017-11-05,32317.13
2017-11-06,32860.48
2017-11-07,28349.66
2017-11-08,28860.3
2017-11-09,36067.97
2017-11-10,32429.46
2017-11-11,25875.5
2017-11-12,30313.87
2017-11-13,40321.72
2017-11-14,38749.24
2017-11-15,40263.83
2017-11-16,41505.43
2017-11-17,33014.97
2017-11-18,24596.46
2017-11-19,24113.82
2017-11-20,48253.81
2017-11-21,36041.35
2017-11-22,36758.54
2017-11-23,51329.39
2017-11-24,208830.88
2017-11-25,97096.2
2017-11-26,59618.69
2017-11-27,69404.07
2017-11-28,69099.97
2017-11-29,53924.52
2017-11-30,44511.54
2017-12-01,49762.07
2017-12-02,40083.87
2017-12-03,39857.95
2017-12-04,60999.52
2017-12-05,46041.85
2017-12-06,55818.33
2017-12-07,51604.94
2017-12-08,32950.31
2017-12-09,24307.37
2017-12-10,32875.28
2017-12-11,50792.06
2017-12-12,47792.57
2017-12-13,32259.07
2017-12-14,38072.08
2017-12-15,26442.99
2017-12-16,44473.11
2017-12-17,26383.23
2017-12-18,36256.49
2017-12-19,36892.99
2017-12-20,30551.97
2017-12-21,21928.01
2017-12-22,18516.79
2017-12-23,24806.97
2017-12-24,9727.88
2017-12-25,21582.15
2017-12-26,31708.2
2017-12-27,23133.92
2017-12-28,20994.85
2017-12-29,21827.92
2017-12-30,15038.67
2017-12-31,14583.57
2018-01-01,13644.35
2018-01-02,41173.02
2018-01-03,32087.78
2018-01-04,39022.52
2018-01-05,31715.04
2018-01-06,45665.65
2018-01-07,38456.19
2018-01-08,45414.8
2018-01-09,47105.56
2018-01-10,50346.42
2018-01-11,55009.87
2018-01-12,50229.36
2018-01-13,35801.65
2018-01-14,35556.78
2018-01-15,57658.64
2018-01-16,60867.29
2018-01-17,59495.73
2018-01-18,44658.45
2018-01-19,40070.06
2018-01-20,27929.64
2018-01-21,34701.3
2018-01-22,55468.32
2018-01-23,46636.32
2018-01-24,38043.45
2018-01-25,42135.54
2018-01-26,43793.42
2018-01-27,29279.05
2018-01-28,35766.13
2018-01-29,42942.56
2018-01-30,42746.48
2018-01-31,44408.07
2018-02-01,41873.17
2018-02-02,43579.65
2018-02-03,32624.2
2018-02-04,33231.95
2018-02-05,54841.47
2018-02-06,43850.41
2018-02-07,37165.37
2018-02-08,39569.74
2018-02-09,38881.87
2018-02-10,29567.35
2018-02-11,30595.36
2018-02-12,38477.04
2018-02-13,37030.21
2018-02-14,49771.03
2018-02-15,45873.06
2018-02-16,34604.45
2018-02-17,36460.99
2018-02-18,39854.56
2018-02-19,72192.47
2018-02-20,57766.95
2018-02-21,49200.48
2018-02-22,48521.35
2018-02-23,40930.05
2018-02-24,32611.54
2018-02-25,63138.91
2018-02-26,56226.0
2018-02-27,57277.24
2018-02-28,48986.2
2018-03-01,48711.96
2018-03-02,50754.39
2018-03-03,41846.22
2018-03-04,35726.05
2018-03-05,47903.88
2018-03-06,63341.65
2018-03-07,41303.65
2018-03-08,37436.73
2018-03-09,37916.42
2018-03-10,36737.02
2018-03-11,39739.89
2018-03-12,57251.6
2018-03-13,41127.58
2018-03-14,35563.93
2018-03-15,50019.24
2018-03-16,54221.23
2018-03-17,29221.13
2018-03-18,32917.55
2018-03-19,51195.12
2018-03-20,61280.47
2018-03-21,63747.21
2018-03-22,43208.68
2018-03-23,41978.49
2018-03-24,28209.59
2018-03-25,31860.18
2018-03-26,46873.13
2018-03-27,42693.29
2018-03-28,35352.29
2018-03-29,31935.85
2018-03-30,26521.38
2018-03-31,31787.64
2018-04-01,40588.22
2018-04-02,69679.38
2018-04-03,42256.49
2018-04-04,45971.62
2018-04-05,44303.19
2018-04-06,36852.88
2018-04-07,24890.72
2018-04-08,34654.36
2018-04-09,41534.82
2018-04-10,48594.1
2018-04-11,49918.84
