order_purchase_year,order_purchase_week,avg_time_to_approve_in_hour
2016,35,784.05
2016,36,781.0333333333333
2016,37,286.93333333333334
2016,39,89.71666666666667
2016,40,38.68261904761904
2016,41,17.626923076923074
2016,42,
2016,51,0.25
2017,1,26.917028985507248
2017,10,2.6209686609686598
2017,11,0.5378444084278768
2017,12,8.721170483460561
2017,13,11.279787234042558
2017,14,8.929887005649725
2017,15,10.234236267870587
2017,16,15.283101449275362
2017,17,17.57032640949555
2017,18,13.499683143219265
2017,19,9.511830635118312
2017,2,9.852320675105485
2017,20,9.746000704721643
2017,21,8.392060451255864
2017,22,9.080895759017046
2017,23,8.837652139772292
2017,24,9.6196052631579
2017,25,10.71701860231273
2017,26,8.783152419719588
2017,27,10.465736342042756
2017,28,9.523943173943174
2017,29,9.105928990003449
2017,3,11.663520408163263
2017,30,9.892321492644417
2017,31,9.129797979797978
2017,32,9.352863202545064
2017,33,9.876104226247223
2017,34,10.307606263982098
2017,35,13.525668979187301
2017,36,11.249597511891691
2017,37,8.974414954337893
2017,38,9.741550232867601
2017,39,9.660593512767425
2017,4,10.7370527306968
2017,40,9.147735597735592
2017,41,10.790083798882678
2017,42,8.543138961415728
2017,43,9.296727704306544
2017,44,11.02625835973248
2017,45,10.48174733388022
2017,46,10.822432500630832
2017,47,10.810952854145947
2017,48,11.379101408005056
2017,49,12.070493900039349
2017,5,12.658582621082626
2017,50,9.690137505926979
2017,51,10.241980971797483
2017,52,10.192518939393945
2017,6,9.445517448856805
2017,7,7.49032258064516
2017,8,11.388859649122814
2017,9,10.007933333333343
2018,1,10.227494615936818
2018,10,8.124257028112451
2018,11,8.72038653366583
2018,12,8.023004830917866
2018,13,9.304059829059826
2018,14,9.174645833333324
2018,15,10.341405082212253
2018,16,28.405294467578827
2018,17,11.703978622327782
2018,18,11.248799474770212
2018,19,8.237381071607407
2018,2,10.812228412256262
2018,20,8.432261840446607
2018,21,8.901983298538623
2018,22,9.374238269347954
2018,23,8.156841741534206
2018,24,7.999476782210592
2018,25,8.589124004550623
2018,26,11.058717221828491
2018,27,22.200207986688845
2018,28,9.048656716417907
2018,29,11.638469165179444
2018,3,12.819074598677998
2018,30,12.751316847607551
2018,31,9.523573500967107
2018,32,8.15614300100704
2018,33,10.336293918316379
2018,34,6.16551994973296
2018,35,1.8779202279202283
2018,36,8.566666666666666
2018,37,
2018,38,
2018,39,
2018,4,7.779879317519763
2018,40,
2018,42,
2018,5,10.61816013275253
2018,6,10.203004606365159
2018,7,9.778312030837894
2018,8,9.184636449480639
2018,9,9.098176265270505
