customer_city,order_purchase_year,order_purchase_week,Total_sales
Alto Rio Doce,2017,30,35.0
Alto Rio Doce,2018,11,135.66
Alto Rio Doce,2018,7,42.01
Alto Rio Novo,2017,27,160.09
Alto Rio Novo,2017,45,209.36
Alto Rio Novo,2017,46,167.14
Alto Rio Novo,2018,10,268.07
Alto Santo,2017,21,538.44
Alto Santo,2017,51,159.3
Alto Santo,2018,22,352.55
Alto Sao Joao,2018,21,96.31
Alto Taquari,2017,28,630.92
Alto Taquari,2018,13,35.28
Alto Taquari,2018,21,119.92999999999999
Alto do Rodrigues,2017,11,1057.4
Alto do Rodrigues,2017,23,577.88
Alto do Rodrigues,2017,24,80.67
Alto do Rodrigues,2017,31,120.08999999999999
Alto do Rodrigues,2018,29,184.85
Alto do Rodrigues,2018,34,1072.41
Alto do Rodrigues,2018,7,194.43
Altonia,2018,12,127.96000000000001
Altonia,2018,3,242.03
Altonia,2018,32,196.72
Altos,2017,20,286.76
Altos,2017,40,690.73
Altos,2017,47,229.92000000000002
Altos,2018,27,265.92
Altos,2018,7,778.27
Aluminio,2017,14,24.0
Aluminio,2017,17,41.0
Aluminio,2017,37,91.96000000000001
Aluminio,2017,51,19.16
Aluminio,2018,1,155.73
Aluminio,2018,13,77.66
Aluminio,2018,2,28.85
Aluminio,2018,23,212.11
Aluminio,2018,29,171.61
Aluminio,2018,5,223.14
Aluminio,2018,7,43.86
Alvarenga,2018,18,94.41
Alvarenga,2018,5,95.99
Alvares Machado,2017,34,371.15
Alvares Machado,2017,41,233.78
Alvares Machado,2017,46,40.0
Alvares Machado,2018,24,42.86
Alvares Machado,2018,33,66.64
Alvares Machado,2018,7,467.6
Alvares Machado,2018,9,92.74
Alvaro de Carvalho,2017,52,180.53
Alvinopolis,2017,34,106.38
Alvinopolis,2017,4,77.89
Alvinopolis,2017,48,38.14
Alvinopolis,2018,20,57.5
Alvinopolis,2018,25,77.06
Alvinopolis,2018,32,184.03
Alvinopolis,2018,33,48.129999999999995
Alvinopolis,2018,8,394.65
Alvorada,2017,12,43.0
Alvorada,2017,13,114.91
Alvorada,2017,18,299.52
Alvorada,2017,20,68.04
Alvorada,2017,21,72.37
Alvorada,2017,22,40.0
Alvorada,2017,25,89.61999999999999
Alvorada,2017,28,206.08
Alvorada,2017,29,116.94
Alvorada,2017,3,108.51
Alvorada,2017,30,153.09
Alvorada,2017,37,107.49
Alvorada,2017,38,144.31
Alvorada,2017,39,93.09
Alvorada,2017,43,34.089999999999996
Alvorada,2017,46,209.5
Alvorada,2017,47,265.84
Alvorada,2017,48,58.800000000000004
Alvorada,2017,49,443.88
Alvorada,2017,50,68.04
Alvorada,2018,1,176.23000000000002
Alvorada,2018,10,41.6
Alvorada,2018,11,129.60999999999999
Alvorada,2018,12,287.46999999999997
Alvorada,2018,15,319.20000000000005
Alvorada,2018,17,146.93
Alvorada,2018,20,338.18
Alvorada,2018,23,69.06
Alvorada,2018,24,66.6
Alvorada,2018,26,392.14
Alvorada,2018,27,250.91
Alvorada,2018,29,210.67000000000002
Alvorada,2018,3,160.87
Alvorada,2018,30,64.1
Alvorada,2018,31,27.04
Alvorada,2018,33,561.02
Alvorada,2018,34,67.22
Alvorada,2018,4,680.4200000000001
Alvorada,2018,5,546.8
Alvorada,2018,7,673.34
Alvorada,2018,9,1293.26
Alvorada do Norte,2017,49,44.69
Alvorada do Norte,2018,3,183.89000000000001
Amambai,2017,19,86.93
Amambai,2017,44,188.34
Amapa do Maranhao,2017,46,50.05
Amapora,2017,38,40.59
Amaraji,2017,35,106.9
Amaral Ferrador,2018,13,76.85
Amarante,2017,38,953.84
Amarante,2018,12,234.19
Amarante,2018,29,81.57
Amarante do Maranhao,2018,14,169.75
Amarantina,2017,34,316.16999999999996
Amarantina,2018,22,298.73
Amarantina,2018,26,118.75
Amargosa,2017,12,71.81
Amargosa,2017,14,171.4
Amargosa,2018,13,202.0
Amelia Rodrigues,2017,18,418.9
Amelia Rodrigues,2018,28,29.29
Amelia Rodrigues,2018,6,95.84
